帛堯初見輕旅,C.J inn,萬華區忠孝西路2段38號,"No.38 ,sec2, Zhongxiao W.rd, Wanhua Dist",02-23886813,4
台北君悅酒店,Grand Hyatt Taipei,信義區松壽路2號,"No.2, Songshou Rd., Xinyi Dist.",02-27201234,866
華宮旅社,HUAKUNG HOTEL,萬華區西昌街157號,"No.157, Sichang St., Wanhua District",02-23142627,14
昌亞旅館,HOTEL PRIMA CASA,中山區林森北路673號1至7樓,"No.673, Linsen N. Rd., Zhongshan Dist.",02-25863161,29
臺北車站智選假日酒店,Holiday Inn Express Taipei Train Station,大同區重慶北路一段73號1樓至7樓,"1,3-7F., No.73, Sec. 1, Chongqing N. Rd., Datong Dist.",02-25505799,152
星美飯店,Beauty Hotels Taipei-Starbeauty Resort,士林區前港街38-1、38-2,"No.38-1,Qiangang St., Shilin Dist.",02-28828080,48
藝築文旅昆明館,ARTINN KUNMING,萬華區昆明街79號10樓,"10F., No. 79, Kunming St., Wanhua Dist.",02-23610330,14
靜好文旅by墾趣,Chill Roof Hotel,中山區南京東路2段11號11樓,"11F., No.11, Sec. 2, Nanjing E. Rd., Zhongshan Dist.",02-25718875,10
沐蘭精品旅館,Mulan Villa SPA Motel Taipei,中山區堤頂大道2段460號,"No.460, Sec. 2, Tiding Blvd., Zhongshan Dist.",02-85023397,46
銀河旅館,GALAXY HOTEL,萬華區漢中街147巷6號1至4樓,"No.6, Ln. 147, Hanzhong St., Wanhua Dist.",02-23116606,18
台北凱撒大飯店,Caesar Park Taipei,中正區忠孝西路1段38號,"No.38, Sec. 1, Zhongxiao W. Rd., Zhongzheng Dist.",02-23115151,478
方舟旅店 長安復興,ARK Hotel,中山區長安東路二段246號3樓、10樓及11樓,"3F., No.246, Sec. 2, Minsheng E. Rd., Zhongshan Dist.",02-27727750,82
水美溫泉會館,Sweetme Hotspring Resort,北投區光明路224號,"No.224, Guangming Rd., Beitou Dist.",02-28983838,78
新驛旅店台北車站三館,City Inn Hotel III,"大同區長安西路77,79號1-7樓","1-7F., No.77, Chang’an W. Rd., Datong Dist.",02-77327777,66
